bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,51,28,2020-06-02 09:15:00
1,1002,5,0,0,3,145,111,2020-06-02 09:15:00
1,1003,2,0,0,2,126,117,2020-06-02 09:15:00
1,1004,1,0,0,1,20,20,2020-06-02 09:15:00
1,1051,1,2,2,1,21,35,2020-06-02 09:15:00
1,1053,2,0,0,2,9,15,2020-06-02 09:15:00
1,1054,3,0,0,3,21,23,2020-06-02 09:15:00
1,1055,3,0,0,3,30,22,2020-06-02 09:15:00
1,1056,2,0,0,2,12,21,2020-06-02 09:15:00
1,1057,1,0,0,1,9,3,2020-06-02 09:15:00
1,1058,3,0,0,3,12,38,2020-06-02 09:15:00
1,1059,1,2,0,1,12,12,2020-06-02 09:15:00
1,1060,4,0,0,4,61,73,2020-06-02 09:15:00
1,1061,1,0,0,1,18,22,2020-06-02 09:15:00
1,1062,3,1,1,3,35,25,2020-06-02 09:15:00
2,2000,26,21,19,23,396,540,2020-06-02 09:15:00
3,3101,5,2,1,5,73,86,2020-06-02 09:15:00
3,3102,2,0,0,2,10,17,2020-06-02 09:15:00
3,3103,1,1,0,1,27,21,2020-06-02 09:15:00
3,3151,2,0,0,2,8,28,2020-06-02 09:15:00
3,3153,3,0,0,3,54,35,2020-06-02 09:15:00
3,3154,1,0,0,1,18,18,2020-06-02 09:15:00
3,3155,2,0,0,2,12,11,2020-06-02 09:15:00
3,3157,1,0,0,1,10,12,2020-06-02 09:15:00
3,3158,1,2,2,1,6,10,2020-06-02 09:15:00
3,3159,8,3,1,7,73,141,2020-06-02 09:15:00
3,3241,16,23,13,16,164,330,2020-06-02 09:15:00
3,3251,3,0,0,3,7,7,2020-06-02 09:15:00
3,3252,4,1,0,4,18,57,2020-06-02 09:15:00
3,3254,5,1,1,4,42,56,2020-06-02 09:15:00
3,3255,1,0,0,1,4,10,2020-06-02 09:15:00
3,3256,1,0,0,1,14,20,2020-06-02 09:15:00
3,3257,1,0,0,1,7,16,2020-06-02 09:15:00
3,3351,3,0,0,1,9,32,2020-06-02 09:15:00
3,3352,2,0,0,2,7,11,2020-06-02 09:15:00
3,3353,3,0,0,3,26,40,2020-06-02 09:15:00
3,3354,1,0,0,1,16,7,2020-06-02 09:15:00
3,3355,2,0,0,2,17,21,2020-06-02 09:15:00
3,3356,2,1,0,2,5,10,2020-06-02 09:15:00
3,3357,3,0,0,2,6,28,2020-06-02 09:15:00
3,3358,3,0,0,3,13,22,2020-06-02 09:15:00
3,3359,3,0,0,2,16,21,2020-06-02 09:15:00
3,3360,2,0,0,2,34,45,2020-06-02 09:15:00
3,3361,2,0,0,2,4,11,2020-06-02 09:15:00
3,3401,1,0,0,1,10,19,2020-06-02 09:15:00
3,3402,1,0,0,1,12,9,2020-06-02 09:15:00
3,3403,5,4,4,3,110,102,2020-06-02 09:15:00
3,3404,4,4,1,4,76,48,2020-06-02 09:15:00
3,3405,1,0,0,1,12,22,2020-06-02 09:15:00
3,3451,3,0,0,2,15,25,2020-06-02 09:15:00
3,3452,3,0,0,3,17,25,2020-06-02 09:15:00
3,3453,3,2,0,3,13,34,2020-06-02 09:15:00
3,3454,7,1,1,7,51,50,2020-06-02 09:15:00
3,3455,2,0,0,2,14,23,2020-06-02 09:15:00
3,3456,1,0,0,1,9,21,2020-06-02 09:15:00
3,3457,3,1,1,2,20,18,2020-06-02 09:15:00
3,3458,1,0,0,1,8,7,2020-06-02 09:15:00
3,3459,8,0,0,7,86,36,2020-06-02 09:15:00
3,3460,3,0,0,3,35,21,2020-06-02 09:15:00
3,3461,1,0,0,1,5,1,2020-06-02 09:15:00
3,3462,1,0,0,1,7,6,2020-06-02 09:15:00
4,4011,10,4,2,9,90,97,2020-06-02 09:15:00
4,4012,2,2,2,2,6,18,2020-06-02 09:15:00
5,5111,12,3,3,11,88,225,2020-06-02 09:15:00
5,5112,13,7,3,9,98,159,2020-06-02 09:15:00
5,5113,15,8,6,14,118,233,2020-06-02 09:15:00
5,5114,6,1,0,4,25,74,2020-06-02 09:15:00
5,5116,5,3,1,4,40,81,2020-06-02 09:15:00
5,5117,2,2,1,2,25,29,2020-06-02 09:15:00
5,5119,6,0,0,4,39,43,2020-06-02 09:15:00
5,5120,1,0,0,1,16,20,2020-06-02 09:15:00
5,5122,3,4,4,3,42,51,2020-06-02 09:15:00
5,5124,5,3,3,5,88,100,2020-06-02 09:15:00
5,5154,5,1,0,5,23,44,2020-06-02 09:15:00
5,5158,5,3,0,5,21,37,2020-06-02 09:15:00
5,5162,7,1,0,6,44,76,2020-06-02 09:15:00
5,5166,4,0,0,4,40,24,2020-06-02 09:15:00
5,5170,9,5,2,8,58,111,2020-06-02 09:15:00
5,5314,16,10,5,11,74,215,2020-06-02 09:15:00
5,5315,26,5,3,18,84,361,2020-06-02 09:15:00
5,5316,4,0,0,2,36,52,2020-06-02 09:15:00
5,5334,8,8,7,7,59,217,2020-06-02 09:15:00
5,5358,5,0,0,4,24,29,2020-06-02 09:15:00
5,5362,7,0,0,7,29,52,2020-06-02 09:15:00
5,5366,3,2,1,3,2,38,2020-06-02 09:15:00
5,5370,3,3,0,3,13,23,2020-06-02 09:15:00
5,5374,7,1,0,7,33,87,2020-06-02 09:15:00
5,5378,4,0,0,4,25,27,2020-06-02 09:15:00
5,5382,6,2,0,6,16,72,2020-06-02 09:15:00
5,5512,2,1,1,2,42,25,2020-06-02 09:15:00
5,5513,6,0,0,4,61,73,2020-06-02 09:15:00
5,5515,6,3,3,6,41,218,2020-06-02 09:15:00
5,5554,5,3,2,5,35,47,2020-06-02 09:15:00
5,5558,3,0,0,3,18,18,2020-06-02 09:15:00
5,5562,14,0,0,14,98,186,2020-06-02 09:15:00
5,5566,5,4,4,5,22,69,2020-06-02 09:15:00
5,5570,4,1,0,4,26,29,2020-06-02 09:15:00
5,5711,4,2,1,4,31,116,2020-06-02 09:15:00
5,5754,3,0,0,3,25,29,2020-06-02 09:15:00
5,5758,4,2,2,3,26,42,2020-06-02 09:15:00
5,5762,5,0,0,5,26,18,2020-06-02 09:15:00
5,5766,2,0,0,2,26,55,2020-06-02 09:15:00
5,5770,6,4,3,6,53,99,2020-06-02 09:15:00
5,5774,4,2,2,4,39,74,2020-06-02 09:15:00
5,5911,8,1,1,6,96,159,2020-06-02 09:15:00
5,5913,9,4,0,9,64,242,2020-06-02 09:15:00
5,5914,5,1,1,5,35,48,2020-06-02 09:15:00
5,5915,6,1,1,5,48,50,2020-06-02 09:15:00
5,5916,4,3,2,4,28,40,2020-06-02 09:15:00
5,5954,6,0,0,6,40,70,2020-06-02 09:15:00
5,5958,9,4,3,9,57,65,2020-06-02 09:15:00
5,5962,7,3,0,7,35,54,2020-06-02 09:15:00
5,5966,3,1,1,3,25,13,2020-06-02 09:15:00
5,5970,6,0,0,6,38,100,2020-06-02 09:15:00
5,5974,6,0,0,5,21,49,2020-06-02 09:15:00
5,5978,6,1,1,6,35,68,2020-06-02 09:15:00
6,6411,7,1,0,4,45,70,2020-06-02 09:15:00
6,6412,15,10,6,12,82,229,2020-06-02 09:15:00
6,6413,2,2,2,2,55,59,2020-06-02 09:15:00
6,6414,5,6,4,4,58,66,2020-06-02 09:15:00
6,6431,5,0,0,5,20,27,2020-06-02 09:15:00
6,6432,2,6,1,2,3,24,2020-06-02 09:15:00
6,6433,2,1,1,2,4,18,2020-06-02 09:15:00
6,6434,3,0,0,3,10,21,2020-06-02 09:15:00
6,6435,4,3,2,4,34,58,2020-06-02 09:15:00
6,6436,2,1,0,2,11,19,2020-06-02 09:15:00
6,6437,2,6,2,2,17,117,2020-06-02 09:15:00
6,6438,2,7,5,2,22,35,2020-06-02 09:15:00
6,6439,2,0,0,2,13,9,2020-06-02 09:15:00
6,6440,5,3,0,5,58,73,2020-06-02 09:15:00
6,6531,4,9,3,4,55,215,2020-06-02 09:15:00
6,6532,2,0,0,2,17,47,2020-06-02 09:15:00
6,6533,3,0,0,3,23,41,2020-06-02 09:15:00
6,6534,3,1,1,3,46,135,2020-06-02 09:15:00
6,6535,4,0,0,4,20,17,2020-06-02 09:15:00
6,6611,6,2,2,6,44,145,2020-06-02 09:15:00
6,6631,3,1,0,3,23,57,2020-06-02 09:15:00
6,6632,3,0,0,3,30,48,2020-06-02 09:15:00
6,6633,3,1,1,3,18,17,2020-06-02 09:15:00
6,6634,3,1,0,3,31,20,2020-06-02 09:15:00
6,6635,7,0,0,7,49,76,2020-06-02 09:15:00
6,6636,3,0,0,3,35,23,2020-06-02 09:15:00
7,7111,5,0,0,4,55,59,2020-06-02 09:15:00
7,7131,2,0,0,2,9,16,2020-06-02 09:15:00
7,7132,2,0,0,2,16,4,2020-06-02 09:15:00
7,7133,4,0,0,4,25,25,2020-06-02 09:15:00
7,7134,2,0,0,2,16,12,2020-06-02 09:15:00
7,7135,2,0,0,2,22,2,2020-06-02 09:15:00
7,7137,4,1,1,4,32,13,2020-06-02 09:15:00
7,7138,5,0,0,5,39,38,2020-06-02 09:15:00
7,7140,2,0,0,2,5,10,2020-06-02 09:15:00
7,7141,5,0,0,5,24,33,2020-06-02 09:15:00
7,7143,4,0,0,4,12,25,2020-06-02 09:15:00
7,7211,4,0,0,3,59,60,2020-06-02 09:15:00
7,7231,2,0,0,2,19,12,2020-06-02 09:15:00
7,7232,2,0,0,2,4,13,2020-06-02 09:15:00
7,7233,2,0,0,2,15,1,2020-06-02 09:15:00
7,7235,2,0,0,2,8,8,2020-06-02 09:15:00
7,7311,1,0,0,1,8,11,2020-06-02 09:15:00
7,7312,1,2,1,1,71,81,2020-06-02 09:15:00
7,7313,3,4,2,2,13,11,2020-06-02 09:15:00
7,7314,4,1,0,4,65,64,2020-06-02 09:15:00
7,7315,2,0,0,2,44,92,2020-06-02 09:15:00
7,7316,1,0,0,1,15,6,2020-06-02 09:15:00
7,7317,1,0,0,1,6,10,2020-06-02 09:15:00
7,7318,3,2,1,2,11,25,2020-06-02 09:15:00
7,7319,1,0,0,1,11,14,2020-06-02 09:15:00
7,7320,1,0,0,1,8,6,2020-06-02 09:15:00
7,7331,1,1,0,1,1,7,2020-06-02 09:15:00
7,7332,2,1,0,2,8,11,2020-06-02 09:15:00
7,7333,2,0,0,2,8,4,2020-06-02 09:15:00
7,7334,2,0,0,2,19,10,2020-06-02 09:15:00
7,7335,1,0,0,1,12,2,2020-06-02 09:15:00
7,7336,1,0,0,1,1,15,2020-06-02 09:15:00
7,7337,2,0,0,2,7,10,2020-06-02 09:15:00
7,7339,2,4,3,2,11,16,2020-06-02 09:15:00
7,7340,1,0,0,1,4,5,2020-06-02 09:15:00
8,8111,11,10,5,9,220,302,2020-06-02 09:15:00
8,8115,4,0,0,4,25,33,2020-06-02 09:15:00
8,8116,6,2,1,4,32,47,2020-06-02 09:15:00
8,8117,4,0,0,3,30,45,2020-06-02 09:15:00
8,8118,5,13,7,4,139,77,2020-06-02 09:15:00
8,8119,2,6,1,2,59,50,2020-06-02 09:15:00
8,8121,1,10,3,1,27,41,2020-06-02 09:15:00
8,8125,2,0,0,2,11,42,2020-06-02 09:15:00
8,8126,1,0,0,1,6,6,2020-06-02 09:15:00
8,8127,2,1,1,2,18,29,2020-06-02 09:15:00
8,8128,3,2,2,3,32,36,2020-06-02 09:15:00
8,8135,1,1,0,1,14,10,2020-06-02 09:15:00
8,8136,3,0,0,3,26,25,2020-06-02 09:15:00
8,8211,2,1,0,1,13,11,2020-06-02 09:15:00
8,8212,4,1,0,4,70,111,2020-06-02 09:15:00
8,8215,3,3,2,3,20,46,2020-06-02 09:15:00
8,8216,2,0,0,2,2,13,2020-06-02 09:15:00
8,8221,6,8,5,6,107,223,2020-06-02 09:15:00
8,8222,5,2,2,3,41,90,2020-06-02 09:15:00
8,8225,3,1,0,3,6,8,2020-06-02 09:15:00
8,8226,4,1,0,4,7,43,2020-06-02 09:15:00
8,8231,2,2,2,2,29,44,2020-06-02 09:15:00
8,8235,2,2,0,2,10,12,2020-06-02 09:15:00
8,8236,2,0,0,2,7,8,2020-06-02 09:15:00
8,8237,1,0,0,1,7,6,2020-06-02 09:15:00
8,8311,4,7,5,4,111,139,2020-06-02 09:15:00
8,8315,4,0,0,4,51,76,2020-06-02 09:15:00
8,8316,3,1,1,3,8,26,2020-06-02 09:15:00
8,8317,6,2,1,6,63,59,2020-06-02 09:15:00
8,8325,2,2,1,2,5,8,2020-06-02 09:15:00
8,8326,5,15,1,2,37,53,2020-06-02 09:15:00
8,8327,1,1,1,1,15,5,2020-06-02 09:15:00
8,8335,7,0,0,6,29,61,2020-06-02 09:15:00
8,8336,1,0,0,1,9,13,2020-06-02 09:15:00
8,8337,2,1,1,2,12,25,2020-06-02 09:15:00
8,8415,2,2,2,1,18,26,2020-06-02 09:15:00
8,8416,5,8,5,2,29,98,2020-06-02 09:15:00
8,8417,1,1,0,1,11,19,2020-06-02 09:15:00
8,8421,3,0,0,3,58,82,2020-06-02 09:15:00
8,8425,2,0,0,2,18,10,2020-06-02 09:15:00
8,8426,1,0,0,1,19,8,2020-06-02 09:15:00
8,8435,3,0,0,3,40,34,2020-06-02 09:15:00
8,8436,5,2,1,4,18,51,2020-06-02 09:15:00
8,8437,2,0,0,2,15,12,2020-06-02 09:15:00
9,9161,1,6,2,1,4,43,2020-06-02 09:15:00
9,9162,28,48,31,26,254,540,2020-06-02 09:15:00
9,9163,1,0,0,1,45,25,2020-06-02 09:15:00
9,9171,3,0,0,2,13,24,2020-06-02 09:15:00
9,9172,3,2,2,3,3,18,2020-06-02 09:15:00
9,9173,2,1,1,2,5,23,2020-06-02 09:15:00
9,9174,1,3,3,1,45,23,2020-06-02 09:15:00
9,9175,1,1,1,1,13,7,2020-06-02 09:15:00
9,9176,3,4,2,3,19,57,2020-06-02 09:15:00
9,9177,1,0,0,1,14,13,2020-06-02 09:15:00
9,9178,1,0,0,1,7,15,2020-06-02 09:15:00
9,9179,1,0,0,1,3,12,2020-06-02 09:15:00
9,9180,1,0,0,1,27,44,2020-06-02 09:15:00
9,9181,1,0,0,1,3,7,2020-06-02 09:15:00
9,9182,1,0,0,1,22,8,2020-06-02 09:15:00
9,9183,1,0,0,1,11,18,2020-06-02 09:15:00
9,9184,1,0,0,1,2,9,2020-06-02 09:15:00
9,9185,2,1,1,1,5,4,2020-06-02 09:15:00
9,9186,1,0,0,1,10,3,2020-06-02 09:15:00
9,9187,5,9,5,5,23,43,2020-06-02 09:15:00
9,9188,5,9,4,5,40,49,2020-06-02 09:15:00
9,9189,3,5,2,2,12,48,2020-06-02 09:15:00
9,9190,3,0,0,3,25,19,2020-06-02 09:15:00
9,9261,5,1,1,3,27,44,2020-06-02 09:15:00
9,9262,3,1,1,2,24,32,2020-06-02 09:15:00
9,9263,1,1,0,1,29,14,2020-06-02 09:15:00
9,9271,2,3,2,2,4,31,2020-06-02 09:15:00
9,9272,2,0,0,2,13,9,2020-06-02 09:15:00
9,9273,3,0,0,3,21,11,2020-06-02 09:15:00
9,9274,1,1,0,1,4,6,2020-06-02 09:15:00
9,9275,1,2,2,1,4,14,2020-06-02 09:15:00
9,9276,2,0,0,2,16,9,2020-06-02 09:15:00
9,9277,1,1,1,1,27,8,2020-06-02 09:15:00
9,9278,2,1,0,2,17,6,2020-06-02 09:15:00
9,9279,2,1,0,2,13,12,2020-06-02 09:15:00
9,9361,1,1,1,1,27,11,2020-06-02 09:15:00
9,9362,4,20,9,4,106,186,2020-06-02 09:15:00
9,9363,1,7,3,1,18,55,2020-06-02 09:15:00
9,9371,1,1,1,1,8,6,2020-06-02 09:15:00
9,9372,1,0,0,1,11,11,2020-06-02 09:15:00
9,9373,1,1,0,1,17,18,2020-06-02 09:15:00
9,9375,2,5,2,2,1,13,2020-06-02 09:15:00
9,9376,4,0,0,4,33,13,2020-06-02 09:15:00
9,9377,1,0,0,1,2,10,2020-06-02 09:15:00
9,9461,4,0,0,1,28,32,2020-06-02 09:15:00
9,9462,5,0,0,2,13,46,2020-06-02 09:15:00
9,9463,1,3,1,1,9,27,2020-06-02 09:15:00
9,9464,1,0,0,1,8,34,2020-06-02 09:15:00
9,9471,1,0,0,1,6,3,2020-06-02 09:15:00
9,9472,1,0,0,1,6,3,2020-06-02 09:15:00
9,9474,2,0,0,2,10,15,2020-06-02 09:15:00
9,9475,2,0,0,2,8,9,2020-06-02 09:15:00
9,9476,1,1,0,1,1,14,2020-06-02 09:15:00
9,9477,1,0,0,1,14,24,2020-06-02 09:15:00
9,9478,2,3,1,2,10,20,2020-06-02 09:15:00
9,9479,2,0,0,2,16,4,2020-06-02 09:15:00
9,9561,2,1,1,2,5,18,2020-06-02 09:15:00
9,9562,3,3,1,3,46,121,2020-06-02 09:15:00
9,9563,2,1,1,2,22,31,2020-06-02 09:15:00
9,9564,8,3,3,6,105,135,2020-06-02 09:15:00
9,9565,1,0,0,1,4,3,2020-06-02 09:15:00
9,9571,2,2,1,2,0,20,2020-06-02 09:15:00
9,9572,1,0,0,1,3,3,2020-06-02 09:15:00
9,9574,3,0,0,3,4,20,2020-06-02 09:15:00
9,9575,3,0,0,2,16,55,2020-06-02 09:15:00
9,9576,1,0,0,1,4,7,2020-06-02 09:15:00
9,9577,2,0,0,2,5,11,2020-06-02 09:15:00
9,9661,1,2,2,1,12,50,2020-06-02 09:15:00
9,9662,2,3,2,2,0,48,2020-06-02 09:15:00
9,9663,3,4,4,3,62,97,2020-06-02 09:15:00
9,9671,1,0,0,1,0,8,2020-06-02 09:15:00
9,9672,3,1,0,3,13,25,2020-06-02 09:15:00
9,9673,1,0,0,1,47,114,2020-06-02 09:15:00
9,9674,2,0,0,2,8,9,2020-06-02 09:15:00
9,9675,1,0,0,1,3,7,2020-06-02 09:15:00
9,9676,1,0,0,1,3,11,2020-06-02 09:15:00
9,9677,1,0,0,1,3,6,2020-06-02 09:15:00
9,9678,2,0,0,2,5,3,2020-06-02 09:15:00
9,9679,1,0,0,1,4,8,2020-06-02 09:15:00
9,9761,3,1,0,2,41,96,2020-06-02 09:15:00
9,9762,1,0,0,1,15,8,2020-06-02 09:15:00
9,9763,1,0,0,1,7,24,2020-06-02 09:15:00
9,9764,1,0,0,1,11,23,2020-06-02 09:15:00
9,9771,2,2,0,2,7,18,2020-06-02 09:15:00
9,9772,2,0,0,2,7,6,2020-06-02 09:15:00
9,9773,2,0,0,2,11,13,2020-06-02 09:15:00
9,9774,4,0,0,4,26,45,2020-06-02 09:15:00
9,9775,2,3,0,2,10,11,2020-06-02 09:15:00
9,9776,2,0,0,2,11,4,2020-06-02 09:15:00
9,9777,2,0,0,2,11,11,2020-06-02 09:15:00
9,9778,2,0,0,2,9,9,2020-06-02 09:15:00
9,9779,3,0,0,3,23,11,2020-06-02 09:15:00
9,9780,1,0,0,1,9,14,2020-06-02 09:15:00
10,10041,7,5,2,7,81,142,2020-06-02 09:15:00
10,10042,2,0,0,2,22,11,2020-06-02 09:15:00
10,10043,3,1,0,3,15,34,2020-06-02 09:15:00
10,10044,4,1,1,3,36,35,2020-06-02 09:15:00
10,10045,2,2,0,2,133,139,2020-06-02 09:15:00
10,10046,1,1,0,1,4,12,2020-06-02 09:15:00
11,11000,59,60,48,42,385,1054,2020-06-02 09:15:00
12,12051,3,1,0,3,15,44,2020-06-02 09:15:00
12,12052,2,0,0,2,59,56,2020-06-02 09:15:00
12,12053,1,0,0,1,14,27,2020-06-02 09:15:00
12,12054,4,1,1,4,34,39,2020-06-02 09:15:00
12,12060,2,3,0,2,53,59,2020-06-02 09:15:00
12,12061,5,1,0,5,23,48,2020-06-02 09:15:00
12,12062,3,0,0,3,18,24,2020-06-02 09:15:00
12,12063,4,0,0,2,21,8,2020-06-02 09:15:00
12,12064,3,1,1,3,25,14,2020-06-02 09:15:00
12,12065,5,0,0,5,36,23,2020-06-02 09:15:00
12,12066,1,3,0,1,23,22,2020-06-02 09:15:00
12,12067,4,0,0,4,87,64,2020-06-02 09:15:00
12,12068,3,0,0,3,27,19,2020-06-02 09:15:00
12,12069,2,0,0,2,36,41,2020-06-02 09:15:00
12,12070,2,0,0,2,16,9,2020-06-02 09:15:00
12,12071,3,0,0,3,14,9,2020-06-02 09:15:00
12,12072,2,0,0,2,13,9,2020-06-02 09:15:00
12,12073,4,0,0,4,19,22,2020-06-02 09:15:00
13,13003,2,1,1,2,35,84,2020-06-02 09:15:00
13,13004,1,0,0,1,19,35,2020-06-02 09:15:00
13,13071,5,1,0,5,35,57,2020-06-02 09:15:00
13,13072,6,0,0,4,35,32,2020-06-02 09:15:00
13,13073,4,0,0,4,26,44,2020-06-02 09:15:00
13,13074,2,0,0,2,12,35,2020-06-02 09:15:00
13,13075,7,0,0,7,71,158,2020-06-02 09:15:00
13,13076,7,0,0,7,31,124,2020-06-02 09:15:00
14,14511,3,0,0,3,33,143,2020-06-02 09:15:00
14,14521,6,0,0,6,40,50,2020-06-02 09:15:00
14,14522,5,0,0,5,25,48,2020-06-02 09:15:00
14,14523,4,0,0,4,47,45,2020-06-02 09:15:00
14,14524,6,1,1,5,49,70,2020-06-02 09:15:00
14,14612,12,1,0,6,83,204,2020-06-02 09:15:00
14,14625,6,4,3,5,24,40,2020-06-02 09:15:00
14,14626,6,0,0,6,25,41,2020-06-02 09:15:00
14,14627,5,0,0,5,56,40,2020-06-02 09:15:00
14,14628,6,27,8,6,61,61,2020-06-02 09:15:00
14,14713,9,0,0,7,165,264,2020-06-02 09:15:00
14,14729,3,0,0,3,20,33,2020-06-02 09:15:00
14,14730,8,0,0,8,33,47,2020-06-02 09:15:00
15,15001,1,0,0,1,4,2,2020-06-02 09:15:00
15,15002,6,4,2,5,106,216,2020-06-02 09:15:00
15,15003,7,0,0,5,52,181,2020-06-02 09:15:00
15,15081,2,1,0,2,7,13,2020-06-02 09:15:00
15,15082,3,0,0,3,35,33,2020-06-02 09:15:00
15,15083,2,0,0,2,18,20,2020-06-02 09:15:00
15,15084,3,0,0,3,34,23,2020-06-02 09:15:00
15,15085,4,0,0,4,28,25,2020-06-02 09:15:00
15,15086,2,5,4,2,12,21,2020-06-02 09:15:00
15,15087,3,0,0,3,27,10,2020-06-02 09:15:00
15,15088,2,0,0,2,10,13,2020-06-02 09:15:00
15,15089,4,0,0,4,29,44,2020-06-02 09:15:00
15,15090,2,0,0,2,35,13,2020-06-02 09:15:00
15,15091,2,0,0,2,34,29,2020-06-02 09:15:00
16,16051,2,1,0,2,43,53,2020-06-02 09:15:00
16,16052,1,2,1,1,6,40,2020-06-02 09:15:00
16,16053,1,1,0,1,32,83,2020-06-02 09:15:00
16,16054,1,1,0,1,13,9,2020-06-02 09:15:00
16,16055,1,0,0,1,6,10,2020-06-02 09:15:00
16,16056,1,0,0,1,13,29,2020-06-02 09:15:00
16,16061,3,1,0,3,14,16,2020-06-02 09:15:00
16,16062,3,4,0,3,50,31,2020-06-02 09:15:00
16,16063,3,0,0,3,16,74,2020-06-02 09:15:00
16,16064,3,5,1,3,47,26,2020-06-02 09:15:00
16,16065,1,0,0,1,12,2,2020-06-02 09:15:00
16,16066,2,0,0,2,16,32,2020-06-02 09:15:00
16,16067,2,0,0,2,20,18,2020-06-02 09:15:00
16,16068,1,0,0,1,5,9,2020-06-02 09:15:00
16,16069,1,0,0,1,5,3,2020-06-02 09:15:00
16,16070,2,0,0,2,8,8,2020-06-02 09:15:00
16,16071,3,2,2,3,63,63,2020-06-02 09:15:00
16,16072,1,0,0,1,6,2,2020-06-02 09:15:00
16,16073,1,0,0,1,14,8,2020-06-02 09:15:00
16,16074,1,0,0,1,13,3,2020-06-02 09:15:00
16,16075,1,0,0,1,3,3,2020-06-02 09:15:00
16,16076,1,2,2,1,10,7,2020-06-02 09:15:00
16,16077,2,0,0,1,31,30,2020-06-02 09:15:00
1,1001,2,0,0,2,48,33,2020-06-03 09:15:00
1,1002,5,0,0,3,137,121,2020-06-03 09:15:00
1,1003,2,0,0,2,125,118,2020-06-03 09:15:00
1,1004,1,0,0,1,19,21,2020-06-03 09:15:00
1,1051,1,2,1,1,19,37,2020-06-03 09:15:00
1,1053,2,0,0,2,11,13,2020-06-03 09:15:00
1,1054,3,0,0,3,23,21,2020-06-03 09:15:00
1,1055,3,0,0,3,22,30,2020-06-03 09:15:00
1,1056,2,0,0,2,5,30,2020-06-03 09:15:00
1,1057,1,0,0,1,6,6,2020-06-03 09:15:00
1,1058,3,0,0,3,16,34,2020-06-03 09:15:00
1,1059,1,2,0,1,12,12,2020-06-03 09:15:00
1,1060,4,0,0,4,56,78,2020-06-03 09:15:00
1,1061,1,0,0,1,17,23,2020-06-03 09:15:00
1,1062,3,1,1,3,34,28,2020-06-03 09:15:00
2,2000,27,20,18,23,385,564,2020-06-03 09:15:00
3,3101,5,2,1,5,62,97,2020-06-03 09:15:00
3,3102,2,0,0,2,12,15,2020-06-03 09:15:00
3,3103,1,3,0,1,19,29,2020-06-03 09:15:00
3,3151,2,0,0,2,8,28,2020-06-03 09:15:00
3,3153,3,0,0,3,53,36,2020-06-03 09:15:00
3,3154,1,0,0,1,18,18,2020-06-03 09:15:00
3,3155,2,0,0,2,13,10,2020-06-03 09:15:00
3,3157,1,0,0,1,8,14,2020-06-03 09:15:00
3,3158,1,2,2,1,5,11,2020-06-03 09:15:00
3,3159,8,2,2,7,64,154,2020-06-03 09:15:00
3,3241,16,19,12,16,144,349,2020-06-03 09:15:00
3,3251,3,0,0,3,8,6,2020-06-03 09:15:00
3,3252,4,1,0,4,17,57,2020-06-03 09:15:00
3,3254,5,2,1,4,37,61,2020-06-03 09:15:00
3,3255,1,0,0,1,4,10,2020-06-03 09:15:00
3,3256,1,0,0,1,14,20,2020-06-03 09:15:00
3,3257,1,0,0,1,5,18,2020-06-03 09:15:00
3,3351,3,1,0,1,13,28,2020-06-03 09:15:00
3,3352,2,0,0,2,8,10,2020-06-03 09:15:00
3,3353,3,0,0,3,23,43,2020-06-03 09:15:00
3,3354,1,0,0,1,22,4,2020-06-03 09:15:00
3,3355,2,0,0,2,14,24,2020-06-03 09:15:00
3,3356,2,0,0,2,5,11,2020-06-03 09:15:00
3,3357,3,0,0,2,14,20,2020-06-03 09:15:00
3,3358,3,0,0,3,19,16,2020-06-03 09:15:00
3,3359,3,0,0,2,14,23,2020-06-03 09:15:00
3,3360,2,0,0,2,32,47,2020-06-03 09:15:00
3,3361,2,0,0,2,4,11,2020-06-03 09:15:00
3,3401,1,0,0,1,11,18,2020-06-03 09:15:00
3,3402,1,1,0,1,11,10,2020-06-03 09:15:00
3,3403,5,6,5,3,119,106,2020-06-03 09:15:00
3,3404,4,2,1,4,84,41,2020-06-03 09:15:00
3,3405,1,0,0,1,10,24,2020-06-03 09:15:00
3,3451,3,0,0,2,15,25,2020-06-03 09:15:00
3,3452,3,0,0,3,18,24,2020-06-03 09:15:00
3,3453,3,1,0,3,12,32,2020-06-03 09:15:00
3,3454,7,0,0,7,52,49,2020-06-03 09:15:00
3,3455,2,0,0,2,9,28,2020-06-03 09:15:00
3,3456,1,0,0,1,9,21,2020-06-03 09:15:00
3,3457,3,1,1,2,19,23,2020-06-03 09:15:00
3,3458,1,0,0,1,8,7,2020-06-03 09:15:00
3,3459,8,0,0,7,78,44,2020-06-03 09:15:00
3,3460,3,0,0,3,38,18,2020-06-03 09:15:00
3,3461,2,0,0,2,7,9,2020-06-03 09:15:00
3,3462,1,0,0,1,6,7,2020-06-03 09:15:00
4,4011,10,3,2,9,92,95,2020-06-03 09:15:00
4,4012,2,2,2,2,7,17,2020-06-03 09:15:00
5,5111,12,2,2,11,89,224,2020-06-03 09:15:00
5,5112,13,6,3,9,100,165,2020-06-03 09:15:00
5,5113,15,8,6,14,99,254,2020-06-03 09:15:00
